"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value"
"1991","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","14"
"1992","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","16"
"1993","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","16"
"1994","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","17"
"1995","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","17"
"1996","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","6"
"1997","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","10"
"1998","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","15"
"1999","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","16"
"2000","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","15"
"2001","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","14"
"2002","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","17"
"2003","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","11"
"2004","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","14"
"2005","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","12"
"2006","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","12"
"2007","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","12"
"2008","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","13"
"2009","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","9"
"2010","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","9"
"2011","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","5"
"2012","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","5"
"2013","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","3"
"2014","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","4"
"2015","Denmark","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","4"
"1990","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,346"
"1991","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,156"
"1992","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,348"
"1993","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,396"
"1994","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,731"
"1995","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,887"
"1996","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,933"
"1997","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,686"
"1998","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,833"
"1999","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,286"
"2000","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,529"
"2001","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,650"
"2002","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,691"
"2003","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,055"
"2004","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,333"
"2005","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,279"
"2006","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,327"
"2007","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,333"
"2008","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,127"
"2009","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,077"
"2010","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,295"
"2011","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,890"
"2012","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,107"
"2013","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,388"
"2014","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2,046"
"2015","Germany (until 1990 former territory of the FRG)","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1,983"
"1990","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1991","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1992","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1993","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1994","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","0"
"1995","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1"
"1996","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","1"
"1997","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","2"
"1998","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","4"
"1999","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","4"
"2000","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","5"
"2001","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","7"
"2002","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","6"
"2003","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","13"
"2004","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","22"
"2005","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","22"
"2006","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","14"
"2007","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","19"
"2008","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","28"
"2009","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","32"
"2010","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","27"
"2011","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","30"
"2012","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","42"
"2013","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","26"
"2014","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","26"
"2015","Estonia","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","27"
"1990","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","13"
"1991","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","20"
"1992","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","22"
"1993","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","24"
"1994","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","28"
"1995","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","22"
"1996","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","25"
"1997","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","23"
"1998","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","31"
"1999","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","29"
"2000","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","29"
"2001","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","23"
"2002","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","42"
"2003","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","27"
"2004","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","29"
"2005","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","49"
"2006","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","44"
"2007","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","36"
"2008","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","47"
"2009","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","55"
"2010","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","42"
"2011","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","19"
"2012","Ireland","Gigawatt-hour","Electrical energy","Gross electricity generation Main activity electricity only - Hydro -1 MW","34"
